company_id,ticker,company_name,tracker_status,coverage_reason_code,source_candidate_type,site_or_source_url,drive_file_link,notes,recommended_action,embedding_policy,priority
31,PRPL,PURPLE INNOVATION INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
33,LIVE,LIVE VENTURES INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
35,HBB,HAMILTON BEACH BND HDNG,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
36,CRCT,CRICUT INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
37,ATER,ATERIAN INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
38,COOK,TRAEGER INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
40,YHGJ,YUNHONG GREEN CTI LTD,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
41,LCUT,LIFETIME BRANDS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
44,TLYS,TILLY'S INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
45,CATO,CATO CORP  -CL A,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
52,BKE,BUCKLE INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
53,DLTH,DULUTH HOLDINGS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
55,SFIX,STITCH FIX INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
56,RVLV,REVOLVE GROUP INC,not_found,website_only_candidate,web_esg_page_or_web_document,https://investors.revolve.com/Social-Impact/Overview/default.aspx,,"There is no published ""Sustainability Report"", but can find some information through https://investors.revolve.com/Social-Impact/Overview/default.aspx",Keep out of PDF ESG corpus; create separate web-source registry row if we decide to crawl/site-ingest it.,supplemental_web_index_only; exclude_from_pdf_esg_index,medium
58,DBGI,DIGITAL BRANDS GRP INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
61,AKA,A.K.A. BRAND HOLD CORP,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
62,LVLU,LULU'S FASHION LOUN HOLD INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
65,CTRN,CITI TRENDS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
66,ZUMZ,ZUMIEZ INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
67,XELB,XCEL BRANDS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
71,BOOT,BOOT BARN HOLDINGS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
72,DBI,DESIGNER BRANDS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
73,SHOE,SHOE STATION GROUP INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
75,TLF,TANDY LEATHER FACTORY INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
76,REAL,REALREAL INC (THE),not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
78,GME,GAMESTOP CORP,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
82,GRWG,GROWGENERATION CORP,not_found,supplemental_public_pdf_candidate_not_standalone,proxy_with_esg_governance_section,https://materials.proxyvote.com/Approved/39986L/20250421/NPS_605496.PDF,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
83,POWW,OUTDOOR HOLDING CO,not_found,no_pdf_in_drive_corpus,none_in_drive_pdf_corpus,,,Search found third-party firearms/divestment materials and unrelated Clear Channel Outdoor results; no official ESG/sustainability PDF candidate downloaded. Public quick search refreshed on 2026-07-15.,Leave as not_found for stand-alone ESG/PDF corpus; optionally re-check later or use 10-K only if approved.,not_applicable; no stand-alone ESG source to embed,low
84,HZO,MARINEMAX INC,not_found,supplemental_public_pdf_candidate_not_standalone,investor_presentation_with_esg_overview,https://s28.q4cdn.com/795129223/files/doc_presentation/2021/01/28/First-Quarter-2021-Investor-Presentation.pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
85,FLWS,1-800-FLOWERS.COM,not_found,supplemental_public_pdf_candidate_not_standalone,environmental_press_release,https://cdn1.1800flowers.com/wcsstore/Flowers/images/banners/aboutus/secondelectronicsrecycledrive102008.pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
88,PETS,PETMED EXPRESS INC,not_found,supplemental_public_pdf_candidate_not_standalone,proxy_with_sustainability_section,https://s204.q4cdn.com/312753843/files/doc_financials/2022/ar/PetMedExpressProxy2022.pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
95,SPWH,SPORTSMANS WAREHOUSE HLDGS,not_found,supplemental_public_pdf_candidate_not_standalone,environmental_conservation_press_release,https://investors.sportsmans.com/node/11076/pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
98,BARK,BARK INC,not_found,supplemental_public_pdf_candidate_not_standalone,governance_charter_with_esg_oversight,https://s27.q4cdn.com/974260903/files/doc_governance/2025/Jun/03/BARK-Charter-Corporate-Governance-Committee-May-2024-e403e1.pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
100,BNED,BARNES & NOBLE EDUCATION INC,not_found,supplemental_public_pdf_candidate_not_standalone,governance_charter_with_esg_oversight|proxy_with_esg_section,https://s23.q4cdn.com/183868809/files/doc_governance/2024/Sep/bned-cgn-committee-charter-9-18-24.pdf;https://materials.proxyvote.com/Approved/06777U/20260202/NPS_624126.PDF,,"Public quick search found 2 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
101,CHWY,CHEWY INC,not_found,no_pdf_in_drive_corpus,none_in_drive_pdf_corpus,,,"Search found official annual reports/10-Ks with ESG risk language, but no ESG/sustainability report PDF candidate downloaded. Public quick search refreshed on 2026-07-15.",Leave as not_found for stand-alone ESG/PDF corpus; optionally re-check later or use 10-K only if approved.,not_applicable; no stand-alone ESG source to embed,low
103,PEW,GRABAGUN DIGITAL HOLDING INC,not_found,no_pdf_in_drive_corpus,none_in_drive_pdf_corpus,,,No official ESG/sustainability PDF candidate found. Public quick search refreshed on 2026-07-15.,Leave as not_found for stand-alone ESG/PDF corpus; optionally re-check later or use 10-K only if approved.,not_applicable; no stand-alone ESG source to embed,low
107,RENT,RENT THE RUNWAY INC,not_found,supplemental_public_pdf_candidate_not_standalone,filing_with_esg_section|press_release_with_sustainability_commitment,https://investors.renttherunway.com/node/7071/pdf;https://investors.renttherunway.com/node/7186/pdf,,"Public quick search found 2 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
108,WINA,WINMARK CORP,not_found,supplemental_public_pdf_candidate_not_standalone,10k_with_sustainability_business_model|franchise_report_with_sustainability_language,https://winmarkcorporation.com/wp-content/uploads/2025/03/Winmark-2024-10K.pdf;https://www.bizbuysell.com/shared/listings/243/2430730/36f8961a-3636-4c81-9f2d-076da63a39de.pdf,,"Public quick search found 2 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
114,SAH,SONIC AUTOMOTIVE INC  -CL A,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
118,CVNA,CARVANA CO,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
120,CWH,CAMPING WORLD HOLDINGS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
121,ONEW,ONEWATER MARINE INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
122,RDNW,RIDENOW GROUP INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
130,EVGO,EVGO INC,not_found,partial_short_pdf_review,short_pdf_or_limited_disclosure_candidate,https://www.evgo.com/company/sustainability/;https://site-assets.evgo.com/f/78437/x/09672e841f/2024-evgo-corporate-responsibility.pdf,,"They have only one pdf thah named ""2024-evgo-corporate-responsibility"" but there are only 3 page","Manually review the short PDF/source; if ESG-relevant, ingest as specialized supplemental source, not full ESG report.",supplemental_or_exclude_after_manual_review; exclude_from_full_report_claims,medium
134,ARHS,ARHAUS INC,not_found,no_pdf_in_drive_corpus,none_in_drive_pdf_corpus,,,"Search found annual filings with ESG risk language, but no ESG/sustainability report PDF candidate downloaded. Public quick search refreshed on 2026-07-15.",Leave as not_found for stand-alone ESG/PDF corpus; optionally re-check later or use 10-K only if approved.,not_applicable; no stand-alone ESG source to embed,low
135,BOBS,BOBS DISCOUNT FURNITURE INC,not_found,supplemental_public_pdf_candidate_not_standalone,registration_filing_with_esg_framework_disclosure,https://ir.mybobs.com/sec-filings/all-sec-filings/content/0001628280-25-055692/0001628280-25-055692.pdf,,"Public quick search found 1 PDF candidate(s), but none is a stand-alone ESG/sustainability report. Keep main ESG tracker status as not_found.",Do not promote to the main PDF ESG corpus; review only for supplemental retrieval/source evidence if approved.,supplemental_pdf_index_only_after_manual_review; exclude_from_pdf_esg_index,medium
136,RH,RH,not_found,website_only_candidate,web_esg_page_or_web_document,https://ir.rh.com/corporate-governance/esg,,They have esg page in their website,Keep out of PDF ESG corpus; create separate web-source registry row if we decide to crawl/site-ingest it.,supplemental_web_index_only; exclude_from_pdf_esg_index,medium
145,VNCE,VINCE HOLDING CORP,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
146,JRSH,JERASH HOLDINGS (US),not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
148,PLBY,PLAYBOY INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
160,LAKE,LAKELAND INDUSTRIES INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
168,MGRX,MANGOCEUTICALS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
169,CART,MAPLEBEAR INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
170,VLGEA,VILLAGE SUPER MARKET  -CL A,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
173,IMKTA,INGLES MARKETS INC  -CL A,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
176,MSS,MAISON SOLUTIONS INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
180,YSWY,YESWAY INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
181,REBN,REBORN COFFEE INC,not_found,no_published_standalone_report,no_standalone_report_found,,,"There is no published ""Sustainability Report"".",Leave as not_found for PDF pipeline; no embedding action unless team approves web-source expansion.,not_applicable; no source to embed,low
