ticker,pdf_stem,section_code,section_title,section_file,source_start_char,source_end_char,page_start,page_end,char_count,word_count,split_method,confidence
AAP,AAP-ADVANCE AUTO PARTS INC-2022,ethics_compliance,13% 1-YR REDUCTION 7% 1-YR REDUCTION 0 • Strategic project setting & compliance,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__ethics_compliance.txt,67328,127535,32,63,22139,3294,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,governance,BOARD OF DIRECTORS COMPOSITION RISK OVERSIGHT,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__governance.txt,109437,125809,56,63,8707,1212,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,human_capital,OUR PEOPLE DIEHARD UL VALIDATION COMMUNITY GIVING ESG OVERSIGHT,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__human_capital.txt,16247,101570,9,51,25086,3736,heading_regex,high
AAP,AAP-ADVANCE AUTO PARTS INC-2022,waste,RECYCLING,data/03_sections/esg/AAP/AAP-ADVANCE AUTO PARTS INC-2022__waste.txt,87209,92875,43,45,5695,845,heading_regex,high
AAPL,AAPL-APPLE INC-2021,about_this_report,About the report,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__about_this_report.txt,166340,174141,59,63,1607,250,heading_regex,high
AAPL,AAPL-APPLE INC-2021,appendix,ESG Index ↗︎,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__appendix.txt,1473,5010,2,4,3537,594,heading_regex,high
AAPL,AAPL-APPLE INC-2021,climate,Climate change,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__climate.txt,8212,14144,6,8,4457,688,heading_regex,high
AAPL,AAPL-APPLE INC-2021,community,Giving back to our communities,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__community.txt,56297,183911,22,64,29621,4445,heading_regex,high
AAPL,AAPL-APPLE INC-2021,diversity_equity_inclusion,Inclusion and diversity,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__diversity_equity_inclusion.txt,30360,173783,13,63,15439,2257,heading_regex,high
AAPL,AAPL-APPLE INC-2021,emissions,"To address emissions from manufacturing, which",data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__emissions.txt,15409,20895,9,10,4706,699,heading_regex,high
AAPL,AAPL-APPLE INC-2021,energy,Our energy efficiency goals extend well beyond,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__energy.txt,14146,139595,8,49,4925,746,heading_regex,high
AAPL,AAPL-APPLE INC-2021,environmental,Environment Environmental,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__environmental.txt,39,157571,1,56,22494,3282,heading_regex,high
AAPL,AAPL-APPLE INC-2021,ethics_compliance,Privacy,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__ethics_compliance.txt,62557,161721,25,57,21453,3181,heading_regex,high
AAPL,AAPL-APPLE INC-2021,governance,Governance,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__governance.txt,7113,182943,5,64,13380,2005,heading_regex,high
AAPL,AAPL-APPLE INC-2021,human_capital,"At Apple, we work every day to put people first",data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__human_capital.txt,5901,164784,5,58,36437,5436,heading_regex,high
AAPL,AAPL-APPLE INC-2021,supply_chain_ethics,Supplier Responsibility,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__supply_chain_ethics.txt,95861,171949,36,62,17694,2587,heading_regex,high
AAPL,AAPL-APPLE INC-2021,waste,• Zero waste to landfill: Minimize overall waste,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__waste.txt,22024,172800,10,62,7161,1047,heading_regex,high
AAPL,AAPL-APPLE INC-2021,water,Water Stewardship certifications.,data/03_sections/esg/AAPL/AAPL-APPLE INC-2021__water.txt,23798,24855,11,11,1069,159,heading_regex,high
AAPL,AAPL-APPLE INC-2022,about_this_report,About the report,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__about_this_report.txt,266225,305115,73,85,11211,1700,heading_regex,high
AAPL,AAPL-APPLE INC-2022,appendix,Introduction Environment Our People Customers Governance Appendix,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__appendix.txt,39,239530,1,65,15323,2259,heading_regex,high
AAPL,AAPL-APPLE INC-2022,climate,Climate change,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__climate.txt,13360,272590,6,76,6679,1018,heading_regex,high
AAPL,AAPL-APPLE INC-2022,community,––> Continue reading on page 38 surrounding communities. -––> Continue reading on page 62,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__community.txt,8972,252499,5,68,6415,978,heading_regex,high
AAPL,AAPL-APPLE INC-2022,diversity_equity_inclusion,Carbon neutral for More than doubled Increased representation,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__diversity_equity_inclusion.txt,4013,293695,4,83,35664,5468,heading_regex,high
AAPL,AAPL-APPLE INC-2022,emissions,Direct emissions abatement: We will,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__emissions.txt,31659,285415,14,79,13702,2158,heading_regex,high
AAPL,AAPL-APPLE INC-2022,energy,Basic Energy Plan and Nationally Determined,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__energy.txt,21746,290917,9,80,14467,2288,heading_regex,high
AAPL,AAPL-APPLE INC-2022,environmental,Environmental Social Governance,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__environmental.txt,1446,160311,2,46,14588,2250,heading_regex,high
AAPL,AAPL-APPLE INC-2022,ethics_compliance,Protected privacy with App,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__ethics_compliance.txt,6422,265386,4,72,59547,8979,heading_regex,high
AAPL,AAPL-APPLE INC-2022,governance,Governance (ESG) initiatives.,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__governance.txt,5442,295411,4,84,9455,1345,heading_regex,high
AAPL,AAPL-APPLE INC-2022,human_capital,Employee giving,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__human_capital.txt,16244,305668,7,85,59974,8941,heading_regex,high
AAPL,AAPL-APPLE INC-2022,supply_chain_ethics,Our commitment to human rights,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__supply_chain_ethics.txt,22137,294935,10,83,52691,7743,heading_regex,high
AAPL,AAPL-APPLE INC-2022,waste,"Impact Accelerator. and packaging, and maximizing material 20%",data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__waste.txt,48776,291270,18,81,2991,460,heading_regex,high
AAPL,AAPL-APPLE INC-2022,water,• Using water efficiently,data/03_sections/esg/AAPL/AAPL-APPLE INC-2022__water.txt,51383,54394,19,20,3011,471,heading_regex,high
AAPL,AAPL-APPLE INC-2023,about_this_report,(Apex) Introduction and objectives of work,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__about_this_report.txt,352528,402900,104,114,24894,3854,heading_regex,high
AAPL,AAPL-APPLE INC-2023,appendix,Appendix A,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__appendix.txt,275427,380787,78,113,20327,2949,heading_regex,high
AAPL,AAPL-APPLE INC-2023,climate,Climate Change,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__climate.txt,88,358084,1,105,19596,2929,heading_regex,high
AAPL,AAPL-APPLE INC-2023,community,Communities that have been disproportionately impacted,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__community.txt,94788,103454,29,33,8666,1299,heading_regex,high
AAPL,AAPL-APPLE INC-2023,data_summary,Audit of performance data;,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__data_summary.txt,362280,363605,105,106,1340,174,heading_regex,high
AAPL,AAPL-APPLE INC-2023,diversity_equity_inclusion,Protocol a fair representation of the data and information;,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__diversity_equity_inclusion.txt,339411,339981,101,101,570,79,heading_regex,medium
AAPL,AAPL-APPLE INC-2023,emissions,Direct emissions abatement,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__emissions.txt,12769,405495,5,114,60389,9280,heading_regex,high
AAPL,AAPL-APPLE INC-2023,energy,Low-carbon Energy Clean Direct Carbon,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__energy.txt,22788,362278,10,105,80872,12153,heading_regex,high
AAPL,AAPL-APPLE INC-2023,environmental,"108 E: Environment, Health and Safety Policy",data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__environmental.txt,1016,370248,2,109,53040,8134,heading_regex,high
AAPL,AAPL-APPLE INC-2023,human_capital,Suppliers Employees,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__human_capital.txt,246931,371019,68,111,10818,1517,heading_regex,high
AAPL,AAPL-APPLE INC-2023,supply_chain_ethics,"Human rights like life, health, food,",data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__supply_chain_ethics.txt,19153,326762,9,97,17604,2630,heading_regex,high
AAPL,AAPL-APPLE INC-2023,waste,Zero waste,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__waste.txt,104658,368193,33,109,75871,11322,heading_regex,high
AAPL,AAPL-APPLE INC-2023,water,Water is one of the most critical resources we need,data/03_sections/esg/AAPL/AAPL-APPLE INC-2023__water.txt,103456,291413,33,83,31491,4793,heading_regex,high
AAPL,AAPL-APPLE INC-2024,about_this_report,Introduction and objectives of work Period Quantity Units Boundary / Protocol,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__about_this_report.txt,456907,492617,109,125,12252,1811,heading_regex,high
AAPL,AAPL-APPLE INC-2024,appendix,INDEPENDENT ASSURANCE STATEMENT,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__appendix.txt,427100,477392,104,123,6768,948,heading_regex,high
AAPL,AAPL-APPLE INC-2024,climate,2024 Climate Week. This initiative is focused on demonstrating,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__climate.txt,46403,243808,19,78,6632,952,heading_regex,high
AAPL,AAPL-APPLE INC-2024,community,79 Supporting communities,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__community.txt,1413,248193,2,79,7783,1145,heading_regex,high
AAPL,AAPL-APPLE INC-2024,diversity_equity_inclusion,Worldwide occupied representation of the data and information;,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__diversity_equity_inclusion.txt,434982,435629,105,105,647,92,heading_regex,medium
AAPL,AAPL-APPLE INC-2024,emissions,3 Reflections from Lisa Jackson 82 Greenhouse gas emissions,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__emissions.txt,32,499877,1,126,86474,13108,heading_regex,high
AAPL,AAPL-APPLE INC-2024,energy,Apple products to 2030 targets of Apple products renewable sources16,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__energy.txt,13191,499517,9,126,75098,11134,heading_regex,high
AAPL,AAPL-APPLE INC-2024,environmental,"VP, Environment, Policy and Social Initiatives",data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__environmental.txt,5003,496353,3,125,160878,34547,heading_regex,high
AAPL,AAPL-APPLE INC-2024,ethics_compliance,"Privacy guidelines/policies, which can",data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__ethics_compliance.txt,426268,427091,103,104,825,118,heading_regex,medium
AAPL,AAPL-APPLE INC-2024,governance,"Responsible Business Alliance (RBA), and we speak at conferences",data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__governance.txt,159359,237214,52,77,7131,977,heading_regex,high
AAPL,AAPL-APPLE INC-2024,human_capital,Achieving progress that benefits business,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__human_capital.txt,17236,18098,11,11,860,121,heading_regex,medium
AAPL,AAPL-APPLE INC-2024,supply_chain_ethics,Building a supply chain,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__supply_chain_ethics.txt,38702,222296,18,71,40715,5894,heading_regex,high
AAPL,AAPL-APPLE INC-2024,waste,Eliminate waste sent to landfill,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__waste.txt,9945,503834,5,126,53031,7850,heading_regex,high
AAPL,AAPL-APPLE INC-2024,water,• Rare earth elements in prioritizing high water stress locations 0% 42% 50%,data/03_sections/esg/AAPL/AAPL-APPLE INC-2024__water.txt,9538,500647,5,126,44804,6739,heading_regex,high
AAPL,AAPL-APPLE INC-2025,about_this_report,Introduction and objectives of work,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__about_this_report.txt,277985,330207,101,113,15488,2311,heading_regex,high
AAPL,AAPL-APPLE INC-2025,appendix,Introduction Environmental Engagement and Data Green Bond Appendix,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__appendix.txt,32,310766,1,110,13370,1960,heading_regex,high
AAPL,AAPL-APPLE INC-2025,climate,Intergovernmental Panel on Climate Changeʼs (IPCC),data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__climate.txt,12185,277572,9,101,11447,1620,heading_regex,high
AAPL,AAPL-APPLE INC-2025,community,(Silicon Valley) communities and industries.,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__community.txt,129082,188621,54,74,5001,684,heading_regex,high
AAPL,AAPL-APPLE INC-2025,data_summary,Impact Metrics – Disclosure,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__data_summary.txt,227719,301787,88,107,1751,246,heading_regex,high
AAPL,AAPL-APPLE INC-2025,diversity_equity_inclusion,EQUITY INVESTMENT,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__diversity_equity_inclusion.txt,52785,53428,24,24,661,98,heading_regex,medium
AAPL,AAPL-APPLE INC-2025,emissions,3 Reflections 76 Greenhouse gas emissions 92 A: Corporate facilities,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__emissions.txt,321,306972,2,108,70716,10636,heading_regex,high
AAPL,AAPL-APPLE INC-2025,energy,Designing products and manufacturing Increasing energy efficiency at both ours,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__energy.txt,10798,287074,9,102,67921,10037,heading_regex,high
AAPL,AAPL-APPLE INC-2025,environmental,Materials,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__environmental.txt,7040,333837,5,113,42560,6185,heading_regex,high
AAPL,AAPL-APPLE INC-2025,ethics_compliance,"“Demonstrating Compliance,” of Appleʼs RSS.",data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__ethics_compliance.txt,155586,157260,63,64,1674,247,heading_regex,high
AAPL,AAPL-APPLE INC-2025,human_capital,Apple products. protect their employees.,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__human_capital.txt,157262,310296,64,110,9925,1389,heading_regex,high
AAPL,AAPL-APPLE INC-2025,supply_chain_ethics,Chief Operating Officer and Supply Chain Innovation,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__supply_chain_ethics.txt,6015,206662,3,81,11235,1677,heading_regex,high
AAPL,AAPL-APPLE INC-2025,waste,56 Zero waste,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__waste.txt,1250,302114,2,108,44463,6429,heading_regex,high
AAPL,AAPL-APPLE INC-2025,water,Appleʼs Water Strategy white paper,data/03_sections/esg/AAPL/AAPL-APPLE INC-2025__water.txt,90644,282126,39,101,37720,5526,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,about_this_report,SASB & GRI,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__about_this_report.txt,561,5200,2,5,4639,740,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,appendix,APPENDIX,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__appendix.txt,90054,91269,52,52,1227,232,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,community,» Provided 40 hours paid volunteer time for all team members,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__community.txt,13240,64208,9,35,12325,1860,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,diversity_equity_inclusion,"Diversity, Equity, and Inclusion Initiative to address issues",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__diversity_equity_inclusion.txt,1855,93644,4,56,10169,1583,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,energy,"OUR APPROACH TO our energy consumption, waste generation, and water",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__energy.txt,23198,31267,15,20,6614,993,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,environmental,"» Conference and speaking engagements » Environment, health, safety, and security practices",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__environmental.txt,21916,71992,13,40,2437,352,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,ethics_compliance,ETHICS,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__ethics_compliance.txt,72001,79654,40,44,3877,572,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,governance,STAKEHOLDER ENGAGEMENT,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__governance.txt,18416,79351,12,44,15578,2237,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,human_capital,"Total number of employees 8,200 8,500 7,600 14,230",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__human_capital.txt,9861,92881,7,54,24731,3620,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,other,Preamble,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__other.txt,0,560,1,2,560,77,heading_regex,low
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,supply_chain_ethics,RESPONSIBLE SOURCING,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__supply_chain_ethics.txt,73263,74266,41,42,1003,141,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,waste,WASTE MANAGEMENT*,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__waste.txt,31289,39400,20,23,7645,1194,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021,water,"» 3,367,875 Gallons of Water Saved",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2021__water.txt,35131,41792,21,25,2908,452,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,about_this_report,Initiative (GRI) Standards and the Sustainability Accounting Standards Board,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__about_this_report.txt,675,73121,2,26,8927,1344,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,appendix,SASB Content Index,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__appendix.txt,62583,74322,24,27,3661,564,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,community,"Community Program, empowering team",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__community.txt,4900,69634,3,26,15273,2346,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,data_summary,Activity Metrics,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__data_summary.txt,63788,64096,24,24,308,46,heading_regex,medium
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,diversity_equity_inclusion,"Equity, and Inclusion initiative, starting the FL",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__diversity_equity_inclusion.txt,4545,76114,3,28,5275,844,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,energy,Energy Our most notable investment in new energy,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__energy.txt,13849,74706,8,27,2963,451,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,environmental,Our Approach to Environment,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__environmental.txt,15691,16546,8,8,855,121,heading_regex,medium
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,ethics_compliance,Compliance Guest Leadership HIGHLIGHT STORY,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__ethics_compliance.txt,33415,72750,15,26,9191,1359,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,governance,Stakeholder Engagement Investors & Financial Markets,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__governance.txt,8321,68100,5,25,9900,1452,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,human_capital,People and Our Communities,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__human_capital.txt,24980,76693,12,28,11284,1713,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,other,Preamble,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__other.txt,0,674,1,2,674,99,heading_regex,low
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,waste,LED Lighting Initiative Waste Management,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__waste.txt,16547,24978,9,12,5899,918,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022,water,"Gallons of Water Saved 4,348,267",data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2022__water.txt,21578,24115,10,11,2537,395,heading_regex,high
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2023,about_this_report,GRI 2: General Disclosures 2021 2-1 Organizational details Our Company; 2023 Form 10-K,data/03_sections/esg/ABG/ABG-ASBURY AUTOMOTIVE GROUP INC-2023__about_this_report.txt,77181,78035,40,40,854,131,heading_regex,medium
