ticker,pdf_file,page,stratum,decision_class,subtype,note
HD,HD-HOME DEPOT INC-2023.pdf,122,representative,table_dominant,disclosure_index_table,TCFD recommended-disclosure topics map to report sections, page numbers, and sources by row.
M,M-MACY'S INC-2024.pdf,15,representative,prose,prose_multicol,Narrative text and a separate boxed program list are not row-aligned.
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,47,representative,prose,chart_infographic,The board icons and donut statistic are self-contained callouts beside ordinary prose.
NKE,NKE-NIKE INC -CL B-2021.pdf,114,representative,prose,prose_multicol,A side callout and portrait accompany a continuous waste narrative without row pairing.
MELI,MELI-MERCADOLIBRE-2025.pdf,49,representative,prose,prose_multicol,Two independent narrative cards and a portrait have no row-level correspondence.
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf,6,representative,prose,prose_multicol,This is a multi-column event story with profiles and photos rather than a table.
JWN,JWN-NORSTROM-2023.pdf,34,representative,prose,prose_multicol,Narrative supplier and environmental-impact text is arranged beside a photograph.
M,M-MACY'S INC-2023.pdf,94,representative,prose,prose_multicol,Two continuous text columns sit above a photograph without cross-column row dependencies.
LEG,LEG-LEGGETT & PLATT INC-2023.pdf,3,representative,prose,prose_multicol,A CEO letter, values callout, and bullet list are independent prose content.
KTB,KTB-KONTOOR BRANDS INC-2024.pdf,22,representative,prose,prose_multicol,Two narrative columns and a standalone quote card are paired with an image.
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,4,representative,prose,prose_multicol,The report introduction is standard flowing prose in two columns beside a portrait.
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,190,representative,table_dominant,data_table_ruled,The wide supplier-facility listing has many corresponding fields aligned across rows.
LULU,LULU-LULULEMON ATHLETICA INC-2022.pdf,65,representative,prose,prose_multicol,Two narrative text columns and a photograph form a standard story layout.
ETSY,ETSY-Etsy-2021.pdf,7,representative,ambiguous_or_mixed,other,Long prose occupies the top while a substantial two-column DEI-goal and narrative grid occupies the lower page.
APC,APC-ARKO PETROLEUM CORP-2021.pdf,37,representative,prose,prose_multicol,This closing disclaimer page contains two flowing prose columns.
W,W-WAYFAIR INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,The GRI disclosure and location columns are aligned in a disclosure index.
PLCE,PLCE-The Childrens Place-2022.pdf,4,representative,prose,prose_multicol,A CEO letter is laid out in two narrative columns with a portrait.
T,T-AT&T INC-2025.pdf,8,representative,prose,prose_multicol,Narrative text and self-contained target statistic cards have no row dependencies.
DELL,DELL-DELL TECHNOLOGIES INC-2024.pdf,22,representative,prose,prose_multicol,Two narrative and bullet-list columns sit beside a photograph.
PVH,PVH-PVH CORP-2021.pdf,20,representative,prose,other,Independent partner lists under separate headers do not have cross-column row correspondence.
M,M-MACY'S INC-2023.pdf,22,representative,prose,prose_multicol,A large callout beside continuous career-development prose and photos is not a table.
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,33,representative,prose,prose_multicol,Two narrative safety sections and a photograph have no table-row structure.
MUSA,MUSA-MURPHY USA INC-2023.pdf,34,representative,prose,prose_multicol,The compliance-reporting blocks are self-contained content alongside prose and a photo.
ARKO,ARKO-ARKO CORP-2021.pdf,29,representative,prose,prose_multicol,Two narrative ethics columns and a standalone principles callout are not row-aligned.
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,151,representative,table_dominant,disclosure_index_table,This GRI content index maps disclosure numbers and titles to notes and locations by row.
WMT,WMT-WALMART INC-2022.pdf,38,representative,prose,prose_multicol,Two independent community narrative-and-bullet sections share no row correspondence.
AAPL,AAPL-APPLE INC-2021.pdf,12,representative,prose,prose_multicol,Standard three-column prose with two self-contained statistics has no table structure.
M,M-MACY'S INC-2023.pdf,72,representative,prose,prose_multicol,The sustainability narrative and highlighted traceability callout are not row-aligned.
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf,15,representative,ambiguous_or_mixed,other,A prose column sits beside separate boxed security and certification content without a canonical single order.
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,The GRI disclosure and response fields form a structured row-aligned index.
HD,HD-HOME DEPOT INC-2023.pdf,97,representative,prose,prose_multicol,Two prose columns and a statistic callout sit beside a photo.
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,55,representative,prose,prose_multicol,Separate partner descriptions occupy independent columns with no shared label-value rows.
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,24,representative,prose,prose_multicol,The animal-services story and each icon statistic are self-contained.
WMK,WMK-WEIS MARKETS INC-2021.pdf,12,representative,prose,chart_infographic,The waste-category diagram uses self-contained label-and-value cards rather than cross-column table rows.
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,26,representative,prose,prose_multicol,Separate benefits-program descriptions and photographs are not aligned table rows.
ETSY,ETSY-Etsy-2021.pdf,8,representative,table_dominant,disclosure_index_table,The employee and supplier DEI goals are aligned with explanatory response fields in a large grid.
DECK,DECK-DECKERS OUTDOOR CORP-2021.pdf,165,representative,table_dominant,data_table_ruled,The materials breakdown contains multiple row-structured material and percentage tables.
MOV,MOV-MOVADO GROUP INC-2025.pdf,31,representative,ambiguous_or_mixed,stat_card_grid,A metric-and-material grid occupies the left half while independent recovery narrative occupies the right.
CVS,CVS-CVS HEALTH CORP-2022.pdf,35,representative,prose,prose_multicol,The accomplishments callout and separate narrative sections do not contain shared table rows.
GES,GES-GUESS-2021-2020.pdf,4,representative,prose,prose_multicol,Company narrative and self-contained values panel sit beside a photograph.
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf,31,representative,prose,prose_multicol,Two prose areas are accompanied by a self-contained small bar chart and photos.
WRBY,WRBY-WARBY PARKER INC-2022.pdf,28,representative,prose,prose_multicol,The page has standard narrative columns and independent highlighted bullet points.
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,46,representative,prose,prose_multicol,Two narrative columns describe audit programs without row-aligned fields.
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf,22,representative,ambiguous_or_mixed,other,A substantial five-column benefits grid appears alongside real prose and separate principle cards.
BBY,BBY-BEST BUY CO INC-2022.pdf,100,representative,table_dominant,disclosure_index_table,The TCFD topic and recommendation fields map to locations of disclosure in a row-aligned index.
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,47,representative,prose,prose_multicol,Two continuous materials narratives sit beside self-contained performance statistics and a small chart.
VSXY,VSXY-Victorias Secret-2023.pdf,96,representative,table_dominant,disclosure_index_table,The IFRS category, details, and response columns are aligned as a disclosure table.
WWW,WWW-WOLVERINE WORLD WIDE-2022.pdf,4,representative,prose,prose_multicol,A CEO letter uses flowing narrative columns beside a full-page portrait.
NKE,NKE-NIKE INC -CL B-2022.pdf,51,representative,prose,chart_infographic,Two prose columns accompany self-contained engagement and inclusion bar-chart panels.
HD,HD-HOME DEPOT INC-2023.pdf,112,representative,table_dominant,disclosure_index_table,The GRI disclosure and location fields are a structured row-aligned content index.
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,51,representative,prose,prose_multicol,Separate story text, photographs, and quotation callout do not have cross-column row correspondence.
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,3,representative,prose,prose_multicol,The mission statement and adjacent narrative sections are continuous prose blocks without table rows.
AAPL,AAPL-APPLE INC-2022.pdf,35,representative,prose,prose_multicol,Two narrative columns and a photograph constitute a standard prose layout.
SGC,SGC-SUPERIOR GROUP OF COS INC-2025.pdf,49,representative,table_dominant,disclosure_index_table,The SASB topics, metrics, codes, and responses are aligned across table rows.
ARKO,ARKO-ARKO CORP-2024.pdf,44,representative,prose,prose_multicol,Two continuous cybersecurity narrative columns have no row-level correspondence.
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,26,representative,ambiguous_or_mixed,other,A substantial Scope 1/2 versus Scope 3 explanatory grid shares the page with significant narrative prose.
NKE,NKE-NIKE INC -CL B-2022.pdf,161,representative,ambiguous_or_mixed,chart_infographic,Large governance prose and a separate hierarchical organization diagram lack a single canonical reading order.
COLM,COLM-COLUMBIA SPORTSWEAR CO-2022.pdf,23,representative,prose,prose_multicol,Two community-program narratives and a self-contained photo card do not form a table.
CRI,CRI-CARTER'S INC-2022.pdf,39,representative,prose,prose_multicol,Recruitment narratives, a bullet list, and an independent partnership callout have no shared rows.
CASY,CASY-CASEYS GENERAL STORES INC-2025.pdf,15,representative,prose,chart_infographic,Narrative prose accompanies a small self-contained yearly charging table and a decorative milestone graphic.
ROST,ROST-ROSS STORES INC-2021.pdf,24,representative,prose,prose_multicol,The community-partner stories, photograph, and quotation are independent prose content.
GAP,GAP-GAP-2022.pdf,7,representative,ambiguous_or_mixed,other,Three large self-contained overview panels combine statistics, lists, and images without a canonical linear order.
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2025.pdf,11,representative,prose,prose_multicol,The page consists of continuous land-management and logistics prose with photographs and callouts.
CRI,CRI-CARTER'S INC-2023.pdf,6,representative,prose,other,Separate brand descriptions pair each logo with its own contiguous narrative and imagery.
RL,RL-RALPH LAUREN CORP-2023.pdf,86,representative,prose,prose_multicol,The ethics callout, prose, and bullet list are standard narrative content without cross-column row pairing.
PTRN,PTRN-Pattern Group-2024(Italian).pdf,77,representative,table_dominant,disclosure_index_table,The GRI category and metrics map across multiple disclosure-reference columns by row.
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,17,representative,prose,prose_multicol,The environmental statement and adjacent policy bullets are independent prose blocks.
SONO,SONO-SONOS INC-2023.pdf,42,representative,ambiguous_or_mixed,disclosure_index_table,A substantial TCFD recommendation-response table shares the page with significant introductory prose.
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf,35,representative,prose,prose_multicol,The compensation narrative and separate image card have no row-aligned structure.
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,64,representative,table_dominant,disclosure_index_table,The GRI and SASB standards map to indicators and disclosure responses across rows.
PVH,PVH-PVH CORP-2022.pdf,105,representative,table_dominant,disclosure_index_table,Disclosure-number and title fields are aligned with corresponding 2022 response rows.
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,47,representative,prose,prose_multicol,Two narrative columns and a contiguous photograph form a conventional prose page.
KSS,KSS-KOHL'S-2024.pdf,7,representative,prose,prose_multicol,Workforce-safety prose and bullets accompany a self-contained two-bar comparison chart.
SGC,SGC-SUPERIOR GROUP OF COS INC-2021.pdf,10,representative,prose,other,An awards list and separate recognition-badge images are independent content rather than row-aligned fields.
GES,GES-GUESS-2021-2020.pdf,3,representative,prose,prose_multicol,A CEO letter flows across facing narrative columns with a separate portrait page.
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,5,representative,prose,prose_multicol,Report-scope and framework descriptions are conventional prose areas alongside a photograph.
WRBY,WRBY-WARBY PARKER INC-2024.pdf,64,representative,prose,prose_multicol,Two continuous supply-chain narrative columns sit below a self-contained photograph.
T,T-AT&T INC-2023.pdf,48,representative,ambiguous_or_mixed,chart_infographic,Substantial waste-management prose is paired with large statistic and goal infographic panels.
ROST,ROST-ROSS STORES INC-2023.pdf,9,representative,prose,prose_multicol,The DEI narrative uses standard prose columns with independent doughnut-chart callouts.
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,57,representative,prose,prose_multicol,Two continuous data-security narrative columns and a photograph have no table structure.
TGT,TGT-TARGET CORP-2024.pdf,19,representative,prose,prose_multicol,The product-design discussion is normal prose in two columns beside a photograph.
RL,RL-RALPH LAUREN CORP-2025.pdf,45,representative,table_dominant,disclosure_index_table,The GRI disclosure, title, and response fields are aligned in a row-structured index.
FIGS,FIGS-FIGS INC-2022.pdf,11,representative,ambiguous_or_mixed,other,Large donation totals and two independent recipient-list panels have no single canonical reading order.
ACI,ACI-ALBERTSONS COS INC-2023.pdf,30,representative,table_dominant,disclosure_index_table,The SDG, company-efforts, and report-reference columns are aligned across rows.
MELI,MELI-MERCADOLIBRE-2023.pdf,79,representative,table_dominant,disclosure_index_table,The GRI content and responses form a large row-aligned disclosure table with a nested employment data grid.
XOM,XOM-EXXON MOBIL CORP-2021.pdf,18,representative,prose,chart_infographic,Emergency-preparedness prose is accompanied by a self-contained lost-time-rate line chart.
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf,29,representative,prose,prose_multicol,The packaging narrative and a small self-contained progress chart sit beside a photograph.
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2022.pdf,25,representative,prose,prose_multicol,Two flowing community-engagement narratives and a bullet list have no table-row correspondence.
TGT,TGT-TARGET CORP-2023.pdf,106,representative,table_dominant,disclosure_index_table,The SDG goals, accomplishments, impacts, and related-target fields are organized in rows.
WRBY,WRBY-WARBY PARKER INC-2022.pdf,49,representative,prose,prose_multicol,Two continuous product-quality prose columns are paired with a large product photograph.
KSS,KSS-KOHL'S CORP-2021.pdf,13,representative,prose,chart_infographic,Energy-efficiency prose accompanies a self-contained multi-year bar and trend chart.
MHK,MHK-MOHAWK INDUSTRIES INC-2021.pdf,64,representative,table_dominant,disclosure_index_table,The disclosure number, title, and response columns are a row-structured GRI index.
BBY,BBY-BEST BUY CO INC-2025.pdf,19,representative,prose,prose_multicol,Energy-savings narrative and a self-contained time-series graphic sit beside a photograph.
BBY,BBY-BEST BUY CO INC-2022.pdf,69,representative,ambiguous_or_mixed,other,A substantial metric-and-performance list shares the page with extensive responsible-sourcing prose.
LOW,LOW-LOWE'S COS INC-2023.pdf,43,representative,prose,prose_multicol,The business-resilience narratives and photographs are independent prose content.
HD,HD-HOME DEPOT INC-2023.pdf,90,representative,prose,prose_multicol,Two narrative program descriptions and a photograph form a standard multi-column story page.
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,29,representative,prose,prose_multicol,The development-program narrative and separate bullet groups have no shared table rows.
WRBY,WRBY-WARBY PARKER INC-2022.pdf,22,representative,prose,prose_multicol,Employee-engagement narratives and a photograph are a conventional prose layout.
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf,28,representative,prose,prose_multicol,The chemicals-management discussion is flowing prose with a contiguous process photograph.
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,18,representative,prose,prose_multicol,The training and EV-safety narratives are independent prose-and-photo panels.
LOVE,LOVE-LOVESAC CO (THE)-2024.pdf,15,representative,table_dominant,data_table_ruled,The targets, units, yearly values, changes, and target years form a wide row-aligned data table.
FL,FL-FOOT LOCKER INC-2021.pdf,65,representative,table_dominant,disclosure_index_table,The activity metrics, categories, units, codes, and reference/data fields are aligned by row.
NWL,NWL-NEWELL BRANDS INC-2022.pdf,60,representative,prose,other,This independent third-party verification statement is continuous single-column prose.
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,28,representative,prose,prose_multicol,A program narrative and large quotation accompany an independent photograph without table structure.
BBY,BBY-BEST BUY CO INC-2021.pdf,41,representative,prose,prose_multicol,This leadership feature uses continuous two-column narrative prose and a portrait.
CROX,CROX-CROCS INC-2023.pdf,36,representative,table_dominant,disclosure_index_table,The SASB topic, code, metric, category, response, and reference fields are row-aligned.
AAPL,AAPL-APPLE INC-2025.pdf,10,representative,prose,chart_infographic,A carbon-neutrality chart and its adjacent explanatory prose are self-contained rather than table rows.
VRA,VRA-VERA BRADLEY INC-2025.pdf,28,representative,table_dominant,disclosure_index_table,The SASB prompts, responses, and metric codes are arranged in corresponding rows.
M,M-MACY'S INC-2023.pdf,34,representative,ambiguous_or_mixed,other,Extensive colleague prose is combined with a substantial grid of independent employee-resource-group cards.
PTRN,PTRN-Pattern Group-2022.pdf,24,representative,prose,prose_multicol,Two ordinary manufacturing narrative columns have no cross-column row relationships.
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf,59,representative,table_dominant,disclosure_index_table,GRI disclosures, locations, details, and SASB metrics are aligned in a structured table.
HD,HD-HOME DEPOT INC-2024.pdf,7,representative,ambiguous_or_mixed,other,The eight core-value wheel and separate value panels are independent boxed content without a single reading order.
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,30,representative,table_dominant,data_table_ruled,The governance area, position, and responsibility fields are aligned across rows.
AZO,AZO-AUTOZONE INC-2023.pdf,44,representative,prose,prose_multicol,The safety and fleet sections are standard continuous prose with an independent awards callout.
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf,10,representative,prose,prose_multicol,Two data-stewardship narrative columns, a portrait, and a self-contained scorecard do not form table rows.
PTRN,PTRN-Pattern Group-2021.pdf,28,representative,prose,prose_multicol,The governance descriptions and name-title lists are independent flowing content.
CASY,CASY-CASEYS GENERAL STORES INC-2022.pdf,17,representative,prose,prose_multicol,Human-rights and advocacy narratives sit beside a large photograph with no row correspondence.
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,24,representative,prose,prose_multicol,Separate supplier-diversity narratives and lists share a conventional multi-column prose layout.
SONO,SONO-SONOS INC-2024.pdf,23,representative,ambiguous_or_mixed,data_table_ruled,A substantial workforce-diversity data grid shares the page with extensive DEI prose.
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2023.pdf,34,representative,prose,prose_multicol,The veterinary-skills narrative and quotation card are independent prose content beside a photograph.
DG,DG-DOLLAR GENERAL CORP-2025.pdf,10,representative,prose,prose_multicol,The access-and-opportunities narrative is arranged with a self-contained statistic callout and photograph.
TGT,TGT-TARGET CORP-2021.pdf,36,representative,prose,prose_multicol,The inclusion narrative, callout, and product image do not have row-aligned fields.
AAPL,AAPL-APPLE INC-2021.pdf,47,representative,prose,prose_multicol,Community-program prose and self-contained statistics are standard multi-column content.
AZO,AZO-AUTOZONE INC-2026.pdf,20,representative,table_dominant,disclosure_index_table,The SASB codes, accounting metrics, and data fields are aligned across table rows.
BBWI,BBWI-BATH & BODY WORKS INC-2023.pdf,25,representative,prose,prose_multicol,Two narrative columns, a photo, and a self-contained DEI highlight panel have no cross-column row pairing.
WHR,WHR-WHIRLPOOL CORP-2022.pdf,103,representative,table_dominant,data_table_ruled,The ESG-pillar, partner, and organization-description fields are aligned in substantial table rows.
FL,FL-FOOT LOCKER INC-2022.pdf,29,representative,prose,prose_multicol,The Scope 1, 2, and 3 descriptions are self-contained cards beside narrative text and a photo.
VSXY,VSXY-Victorias Secret-2022.pdf,49,representative,prose,prose_multicol,Two continuous narrative columns and a self-contained recycling callout sit beside photos.
EBAY,EBAY-eBay-2023-Report.pdf,35,representative,prose,prose_multicol,Two standard flowing prose columns and bullet lists have no row-level correspondence.
KSS,KSS-KOHL'S-2023.pdf,13,representative,prose,prose_multicol,Narrative prose and a vertically arranged list of self-contained award descriptions are not a shared-row table.
GIII,GII-G-III APPAREL GROUP LTD-2025.pdf,19,representative,prose,prose_multicol,The circularity and traceability narratives are conventional independent prose columns with a self-contained initiative list.
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf,15,representative,prose,prose_multicol,DEI prose, a photograph, and a contiguous three-statistic callout do not create table rows.
MUSA,MUSA-MURPHY USA INC-2024.pdf,28,representative,table_dominant,disclosure_index_table,The SASB metric labels at left align with their corresponding detailed responses and values at right.
AAPL,AAPL-APPLE INC-2025.pdf,36,representative,prose,prose_multicol,Two flowing narrative columns sit beside a photograph without cross-column row dependencies.
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf,18,representative,prose,prose_multicol,Continuous packaging prose is accompanied by independent goal and collection-statistic callouts.
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,76,representative,prose,prose_multicol,Brand-specific stories and photographs are self-contained narrative panels rather than shared table rows.
CVS,CVS-CVS HEALTH CORP-2023.pdf,29,representative,prose,prose_multicol,The maternal-health narrative and independent bulleted investment descriptions have no row correspondence.
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,58,representative,prose,prose_multicol,Five self-contained service descriptions and a photograph do not depend on cross-column row alignment.
SONO,SONO-SONOS INC-2024.pdf,24,representative,prose,prose_multicol,Two prose sections and a contiguous employee-resource-group list are independent content blocks.
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,48,representative,ambiguous_or_mixed,stat_card_grid,Substantial independent sustainable-attribute and certification panels lack a single canonical linear order.
BIRD,BIRD-ALLBIRDS INC-2022.pdf,5,representative,prose,prose_multicol,This is ordinary two-column introductory prose with no row-level field alignment.
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2024.pdf,31,representative,ambiguous_or_mixed,other,Large independent charity, volunteering, and United Way panels combine separate stories and photos without one natural order.
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf,63,representative,prose,prose_multicol,Narrative program descriptions, photographs, and a self-contained recovery graphic do not form a table.
AZO,AZO-AUTOZONE INC-2022.pdf,28,representative,prose,prose_multicol,The two key-initiative prose columns and a standalone quotation have no cross-column row dependency.
PTRN,PTRN-Pattern Group-2021.pdf,35,representative,table_dominant,data_table_ruled,The KPI goals and strategy fields are aligned across ruled table rows.
GES,GES-GUESS-2025.pdf,70,representative,table_dominant,disclosure_index_table,The GRI disclosure codes and corresponding response fields are structured in aligned rows.
AZO,AZO-AUTOZONE INC-2022.pdf,8,representative,prose,prose_multicol,Two flowing culture narratives sit below a photograph without table-row structure.
GES,GES-GUESS-2023-2022.pdf,99,representative,table_dominant,disclosure_index_table,The GRI disclosure number, title, coverage, and location fields are row-aligned.
WMT,WMT-WALMART INC-2022.pdf,5,representative,prose,prose_multicol,The forward-looking statement is conventional prose in two columns beside a photo.
LZB,LZB-LA-Z-BOY INC-2023.pdf,41,representative,prose,prose_multicol,Employee-development narratives and a photo form a standard prose layout.
BBY,BBY-BEST BUY CO INC-2022.pdf,21,representative,prose,prose_multicol,Two packaging narratives and a photograph have no row-aligned fields.
AZO,AZO-AUTOZONE INC-2024.pdf,3,representative,prose,prose_multicol,A CEO letter is laid out as flowing prose columns alongside a portrait.
SGC,SGC-SUPERIOR GROUP OF COS INC-2022.pdf,20,representative,ambiguous_or_mixed,chart_infographic,Substantial headcount and tenure charts share the page with extensive talent-retention prose.
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,61,representative,ambiguous_or_mixed,stat_card_grid,A large volunteering-statistic grid and separate narrative feature share the page without a single linear order.
WWW,WWW-WOLVERINE WORLD WIDE-2024.pdf,51,representative,prose,prose_multicol,Two continuous cybersecurity prose columns accompany a contiguous photograph.
WHR,WHR-WHIRLPOOL CORP-2022.pdf,36,representative,prose,prose_multicol,Water-management prose and self-contained goal callouts sit beside a photograph.
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022.pdf,17,representative,prose,prose_multicol,The community narratives and self-contained program cards have no shared row dependencies.
NKE,NKE-NIKE INC -CL B-2023.pdf,162,representative,table_dominant,data_table_ruled,The electricity and emissions metrics are aligned by location and fiscal-year columns.
