model_id,question_id,rank,chunk_id,score
claim_specific_requirement_aware,10K-V2-I7-003,1,302855,-2.2681500911712646
claim_specific_requirement_aware,10K-V2-I7-003,2,302873,-2.9059090614318848
claim_specific_requirement_aware,10K-V2-I7-003,3,302874,-3.976391315460205
claim_specific_requirement_aware,10K-V2-I7-003,4,302853,-4.795847415924072
claim_specific_requirement_aware,10K-V2-I7-003,5,302869,-5.425568103790283
claim_specific_requirement_aware,10K-V2-I7-004,1,340545,-0.9414236545562744
claim_specific_requirement_aware,10K-V2-I7-004,2,340544,3.142975091934204
claim_specific_requirement_aware,10K-V2-I7-004,3,340537,2.5571610927581787
claim_specific_requirement_aware,10K-V2-I7-004,4,340541,0.8880254626274109
claim_specific_requirement_aware,10K-V2-I7-004,5,340530,0.8500850796699524
claim_specific_requirement_aware,10K-V2-I8-001,1,281164,0.658237099647522
claim_specific_requirement_aware,10K-V2-I8-001,2,281170,0.11021322011947632
claim_specific_requirement_aware,10K-V2-I8-001,3,281171,-2.1581871509552
claim_specific_requirement_aware,10K-V2-I8-001,4,281163,-2.8233349323272705
claim_specific_requirement_aware,10K-V2-I8-001,5,281167,-2.8253612518310547
claim_specific_requirement_aware,10K-V2-I8-002,1,293685,4.93524694442749
claim_specific_requirement_aware,10K-V2-I8-002,2,293655,-5.219208717346191
claim_specific_requirement_aware,10K-V2-I8-002,3,293669,-6.290351390838623
claim_specific_requirement_aware,10K-V2-I8-002,4,293652,-6.817561626434326
claim_specific_requirement_aware,10K-V2-I8-002,5,293656,-6.989392280578613
claim_specific_requirement_aware,10K-V2-I8-003,1,233561,8.205476760864258
claim_specific_requirement_aware,10K-V2-I8-003,2,233560,2.434591054916382
claim_specific_requirement_aware,10K-V2-I8-003,3,233559,4.028377056121826
claim_specific_requirement_aware,10K-V2-I8-003,4,233531,3.2332940101623535
claim_specific_requirement_aware,10K-V2-I8-003,5,233515,2.5675721168518066
claim_specific_requirement_aware,10K-V2-I8-004,1,290535,0.9077140688896179
claim_specific_requirement_aware,10K-V2-I8-004,2,290530,-2.5534424781799316
claim_specific_requirement_aware,10K-V2-I8-004,3,290502,-2.6905815601348877
claim_specific_requirement_aware,10K-V2-I8-004,4,290500,-2.925506591796875
claim_specific_requirement_aware,10K-V2-I8-004,5,290492,-2.9725468158721924
claim_specific_requirement_aware,10K-V2-XC-001,1,264515,-1.2146637439727783
claim_specific_requirement_aware,10K-V2-XC-001,2,286848,-1.0086134672164917
claim_specific_requirement_aware,10K-V2-XC-001,3,264516,-2.4577953815460205
claim_specific_requirement_aware,10K-V2-XC-001,4,286847,-2.6637537479400635
claim_specific_requirement_aware,10K-V2-XC-001,5,264514,-3.0453057289123535
claim_specific_requirement_aware,10K-V2-XC-002,1,291510,-1.4368329048156738
claim_specific_requirement_aware,10K-V2-XC-002,2,326178,4.519468307495117
claim_specific_requirement_aware,10K-V2-XC-002,3,326177,2.579871892929077
claim_specific_requirement_aware,10K-V2-XC-002,4,291509,-2.2908213138580322
claim_specific_requirement_aware,10K-V2-XC-002,5,291502,-2.8253965377807617
claim_specific_requirement_aware,10K-V2-XC-003,1,313088,1.0609278678894043
claim_specific_requirement_aware,10K-V2-XC-003,2,245466,-1.7153018712997437
claim_specific_requirement_aware,10K-V2-XC-003,3,313089,-0.9665615558624268
claim_specific_requirement_aware,10K-V2-XC-003,4,245461,-2.440751552581787
claim_specific_requirement_aware,10K-V2-XC-003,5,245462,-2.5835490226745605
claim_specific_requirement_aware,10K-V2-XC-004,1,280029,2.5759518146514893
claim_specific_requirement_aware,10K-V2-XC-004,2,239596,3.1237597465515137
claim_specific_requirement_aware,10K-V2-XC-004,3,239652,2.8900344371795654
claim_specific_requirement_aware,10K-V2-XC-004,4,280030,2.0328187942504883
claim_specific_requirement_aware,10K-V2-XC-004,5,280028,1.7764103412628174
claim_specific_requirement_aware,10K-V2-TC-001,1,304857,3.3897340297698975
claim_specific_requirement_aware,10K-V2-TC-001,2,304832,1.4904195070266724
claim_specific_requirement_aware,10K-V2-TC-001,3,304833,1.4839122295379639
claim_specific_requirement_aware,10K-V2-TC-001,4,304853,0.31125253438949585
claim_specific_requirement_aware,10K-V2-TC-001,5,304854,0.2597001791000366
claim_specific_requirement_aware,10K-V2-TC-002,1,332966,5.9450531005859375
claim_specific_requirement_aware,10K-V2-TC-002,2,332972,5.711421966552734
claim_specific_requirement_aware,10K-V2-TC-002,3,332967,5.317207336425781
claim_specific_requirement_aware,10K-V2-TC-002,4,332961,4.819993495941162
claim_specific_requirement_aware,10K-V2-TC-002,5,332960,3.5843305587768555
claim_specific_requirement_aware,10K-V2-TC-003,1,266329,5.301207542419434
claim_specific_requirement_aware,10K-V2-TC-003,2,266793,-2.0015642642974854
claim_specific_requirement_aware,10K-V2-TC-003,3,266345,-0.641997218132019
claim_specific_requirement_aware,10K-V2-TC-003,4,266328,-0.7521500587463379
claim_specific_requirement_aware,10K-V2-TC-003,5,266331,-1.0315275192260742
claim_specific_requirement_aware,10K-V2-TC-004,1,339340,0.9305768013000488
claim_specific_requirement_aware,10K-V2-TC-004,2,339761,1.4927942752838135
claim_specific_requirement_aware,10K-V2-TC-004,3,339356,0.5452901124954224
claim_specific_requirement_aware,10K-V2-TC-004,4,339785,0.39408499002456665
claim_specific_requirement_aware,10K-V2-TC-004,5,339775,0.3919399380683899
